﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025020324,   1021.2,   1024.9,     11.7,     10.3,       91,      1.4,    120.0,      4.0,     90.0,      0.5,      1.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020401,   1021.7,   1025.4,     11.6,     10.3,       92,      1.1,     80.0,      7.9,     60.0,      2.0,      1.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020402,   1022.1,   1025.8,     11.0,      9.6,       91,      0.8,     80.0,      3.7,     60.0,      1.0,      1.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020403,   1022.0,   1025.7,     10.5,      8.8,       89,      1.5,    130.0,      5.7,    100.0,      1.5,      1.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020404,   1021.7,   1025.4,     10.4,      8.7,       89,      1.1,    150.0,      3.6,    140.0,     -9.8,      0.4,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020405,   1021.4,   1025.1,     10.8,      8.6,       86,      1.0,    160.0,      3.4,    150.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020406,   1021.3,   1025.0,     10.8,      8.4,       85,      1.5,    150.0,      2.8,    160.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020407,   1021.8,   1025.5,     10.8,      7.7,       81,      1.0,    130.0,      2.7,    160.0,      0.0,      0.0,      0.0,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020408,   1022.1,   1025.8,     11.6,      6.3,       70,      0.7,     80.0,      4.2,    110.0,      0.0,      0.0,      0.0,     0.21,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020409,   1021.9,   1025.6,     13.0,      6.4,       64,      2.2,    130.0,      5.2,    100.0,      0.0,      0.0,      0.1,     0.55,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020410,   1021.3,   1025.0,     14.5,      5.3,       54,      2.6,    100.0,      7.4,     60.0,      0.0,      0.0,      0.9,     1.69,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020411,   1020.8,   1024.5,     15.5,      5.1,       50,      4.0,    100.0,     10.6,    100.0,      0.0,      0.0,      1.0,     2.47,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020412,   1019.8,   1023.5,     14.9,      4.3,       49,      3.3,     70.0,     10.6,     60.0,      0.0,      0.0,      0.4,     1.82,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020413,   1018.6,   1022.3,     15.4,      3.9,       46,      3.4,     50.0,     11.2,    120.0,      0.0,      0.0,      0.7,     2.37,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020414,   1018.2,   1021.9,     15.0,      3.8,       47,      3.3,     80.0,     10.1,     40.0,      0.0,      0.0,      0.9,     2.54,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020415,   1018.1,   1021.8,     14.2,      3.7,       49,      4.0,     80.0,     10.3,     40.0,      0.0,      0.0,      0.6,     1.63,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020416,   1019.2,   1022.9,     13.8,      4.7,       54,      3.5,     40.0,      9.8,     60.0,      0.0,      0.0,      0.0,     0.61,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020417,   1019.8,   1023.5,     13.1,      4.0,       54,      3.7,     40.0,      9.4,     60.0,      0.0,      0.0,      0.0,     0.29,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020418,   1019.6,   1023.3,     12.4,      3.4,       54,      3.5,     60.0,      8.0,     60.0,      0.0,      0.0,      0.0,     0.06,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020419,   1019.7,   1023.4,     12.0,      3.0,       54,      2.4,     80.0,      7.2,     40.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020420,   1020.3,   1024.0,     11.9,      3.2,       55,      2.5,    120.0,      8.9,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020421,   1020.2,   1023.9,     11.4,      3.7,       59,      2.6,    130.0,      6.2,    130.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020422,   1020.1,   1023.8,     11.6,      3.6,       58,      3.0,    130.0,      6.9,    110.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020423,   1019.7,   1023.4,     12.0,      3.5,       56,      3.0,    130.0,      7.0,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020424,   1019.6,   1023.3,     12.5,      3.7,       55,      2.6,    110.0,      7.2,    120.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020501,   1019.5,   1023.2,     12.5,      4.2,       57,      2.4,    100.0,      6.4,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020502,   1019.1,   1022.8,     12.7,      4.4,       57,      2.1,    110.0,      6.9,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020503,   1018.7,   1022.4,     12.9,      4.6,       57,      2.6,    100.0,      6.6,    110.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020504,   1018.4,   1022.1,     13.0,      4.7,       57,      2.9,    100.0,      8.7,     80.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020505,   1018.4,   1022.1,     13.0,      4.9,       58,      2.8,    100.0,      7.1,    110.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020506,   1018.6,   1022.3,     13.1,      5.3,       59,      4.1,    100.0,      8.3,     90.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020507,   1019.0,   1022.7,     13.2,      5.6,       60,      2.9,    100.0,      8.1,     90.0,      0.0,      0.0,      0.0,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020508,   1018.6,   1022.3,     13.6,      5.5,       58,      3.2,    100.0,      7.7,     90.0,      0.0,      0.0,      0.1,     0.25,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020509,   1018.6,   1022.3,     14.8,      5.6,       54,      3.5,    100.0,      9.1,     80.0,      0.0,      0.0,      0.0,     0.64,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020510,   1018.4,   1022.1,     16.3,      6.2,       51,      3.5,    110.0,      9.3,    100.0,      0.0,      0.0,      0.1,     1.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020511,   1017.1,   1020.7,     16.7,      6.0,       49,      4.0,    110.0,     10.4,    110.0,      0.0,      0.0,      0.6,     1.95,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020512,   1016.2,   1019.8,     17.8,      7.0,       49,      3.3,    100.0,     11.1,    120.0,      0.0,      0.0,      0.6,     2.23,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020513,   1015.1,   1018.7,     17.1,      6.6,       50,      4.7,    110.0,     12.7,    120.0,      0.0,      0.0,      0.5,     2.12,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020514,   1014.5,   1018.1,     17.1,      6.9,       51,      3.5,    110.0,      9.3,    120.0,      0.0,      0.0,      0.0,     1.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020515,   1014.5,   1018.1,     16.6,      7.3,       54,      4.1,    120.0,     10.0,    110.0,      0.0,      0.0,      0.0,     0.76,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020516,   1014.6,   1018.2,     16.3,      7.5,       56,      3.4,    120.0,      8.9,    100.0,      0.0,      0.0,      0.0,     0.37,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020517,   1015.0,   1018.6,     16.1,      7.6,       57,      3.5,    110.0,      9.2,    130.0,      0.0,      0.0,      0.0,     0.17,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020518,   1015.3,   1018.9,     15.9,      7.9,       59,      3.3,    110.0,      9.0,     90.0,      0.0,      0.0,      0.0,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020519,   1015.6,   1019.2,     15.8,      8.1,       60,      3.1,    110.0,      8.0,    100.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020520,   1016.3,   1020.0,     15.6,      8.4,       62,      2.4,    110.0,      8.2,    130.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020521,   1016.9,   1020.6,     15.8,      8.6,       62,      2.8,    100.0,      8.1,     90.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020522,   1017.2,   1020.9,     15.8,      8.8,       63,      2.8,    100.0,      7.4,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020523,   1017.2,   1020.9,     15.8,      9.5,       66,      2.9,    100.0,      8.2,     80.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020524,   1017.1,   1020.8,     15.1,     10.5,       74,      3.9,     90.0,     10.4,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020601,   1016.8,   1020.5,     14.8,     10.8,       77,      4.1,     90.0,     10.0,    110.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020602,   1016.2,   1019.9,     14.5,     11.1,       80,      3.7,    100.0,      9.7,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020603,   1015.7,   1019.4,     14.6,     11.4,       81,      3.7,    100.0,     10.0,    110.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020604,   1016.0,   1019.7,     14.7,     11.5,       81,      3.9,    100.0,      9.2,     90.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020605,   1016.2,   1019.9,     14.6,     11.9,       84,      3.9,    100.0,      9.5,    100.0,     -9.8,      0.1,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020606,   1016.6,   1020.3,     14.6,     11.6,       82,      3.4,    100.0,      9.0,     80.0,     -9.8,      0.1,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020607,   1017.1,   1020.8,     14.7,     11.3,       80,      3.1,    100.0,      9.8,     90.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020608,   1017.5,   1021.2,     15.0,     11.4,       79,      3.9,    100.0,     10.8,    110.0,     -9.8,      0.1,      0.0,     0.06,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020609,   1017.8,   1021.5,     15.1,     11.7,       80,      4.1,    100.0,     10.0,    100.0,      0.0,      0.0,      0.0,     0.12,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020610,   1017.7,   1021.4,     15.2,     12.3,       83,      3.8,    100.0,     10.1,     90.0,     -9.8,      0.1,      0.0,     0.23,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020611,   1016.7,   1020.4,     15.0,     12.3,       84,      4.4,    100.0,     11.6,     80.0,      0.0,      0.0,      0.0,     0.46,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020612,   1015.3,   1018.9,     15.7,     12.3,       80,      4.6,    100.0,     11.4,    120.0,      0.0,      0.0,      0.0,     0.90,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020613,   1013.9,   1017.5,     16.4,     12.6,       78,      3.7,    100.0,     11.5,     90.0,      0.0,      0.0,      0.1,     1.47,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020614,   1013.2,   1016.8,     16.3,     12.7,       79,      4.0,    100.0,     10.4,     90.0,      0.0,      0.0,      0.0,     0.96,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020615,   1013.1,   1016.7,     16.3,     12.9,       80,      3.5,     90.0,     10.8,    100.0,      0.0,      0.0,      0.0,     0.32,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020616,   1013.5,   1017.1,     16.7,     12.9,       78,      3.1,    100.0,      8.2,    100.0,      0.0,      0.0,      0.0,     0.24,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020617,   1014.1,   1017.7,     16.6,     12.8,       78,      3.7,    100.0,      9.3,    100.0,      0.0,      0.0,      0.0,     0.09,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020618,   1014.9,   1018.5,     16.4,     13.1,       81,      3.8,    100.0,      9.2,    100.0,      0.0,      0.0,      0.0,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020619,   1015.7,   1019.3,     16.3,     13.4,       83,      3.0,    100.0,      8.6,     90.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020620,   1016.1,   1019.7,     16.2,     13.3,       83,      3.5,    100.0,      8.6,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020621,   1016.0,   1019.6,     16.1,     13.6,       85,      3.5,    100.0,      9.6,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020622,   1016.0,   1019.6,     16.1,     13.8,       86,      3.0,    100.0,      9.3,     90.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020623,   1016.2,   1019.8,     16.4,     13.7,       84,      3.4,    100.0,      8.6,     90.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020624,   1016.1,   1019.7,     16.1,     14.1,       88,      3.2,    100.0,      8.0,     90.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020701,   1016.6,   1020.2,     15.9,     14.4,       91,      2.5,    100.0,      6.7,     80.0,     -9.8,      0.4,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020702,   1016.6,   1020.3,     15.6,     14.8,       95,      1.7,    110.0,      6.6,    100.0,      0.5,      0.9,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020703,   1016.4,   1020.1,     15.5,     15.0,       97,      0.1,      0.0,      2.5,     90.0,      1.5,      1.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020704,   1016.5,   1020.2,     15.1,     14.0,       93,      1.7,     80.0,      7.4,    100.0,      2.5,      1.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020705,   1017.1,   1020.8,     14.6,     13.2,       91,      3.0,    100.0,      8.2,     90.0,      1.0,      0.9,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020706,   1018.0,   1021.7,     14.4,     12.6,       89,      3.2,    100.0,      7.8,    100.0,     -9.8,      0.2,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020707,   1018.9,   1022.6,     14.0,     12.2,       89,      2.8,    100.0,      8.6,     80.0,     -9.8,      0.3,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020708,   1019.7,   1023.4,     13.6,     12.2,       91,      2.5,    100.0,      8.8,    100.0,      1.0,      0.9,      0.0,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020709,   1020.6,   1024.3,     13.8,     12.0,       89,      2.3,    110.0,      8.4,    130.0,     -9.8,      0.1,      0.0,     0.07,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020710,   1020.9,   1024.6,     13.8,     11.7,       87,      2.2,    100.0,      7.1,    100.0,      0.0,      0.0,      0.0,     0.12,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020711,   1020.3,   1024.0,     13.8,     12.4,       91,      2.2,    110.0,      7.0,    120.0,     -9.8,      0.1,      0.0,     0.20,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020712,   1019.9,   1023.6,     13.7,     11.6,       87,      3.0,    100.0,      8.4,    110.0,     -9.8,      0.1,      0.0,     0.39,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020713,   1019.3,   1023.0,     14.0,     11.2,       83,      3.2,    100.0,      9.4,     80.0,      0.0,      0.0,      0.0,     0.56,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020714,   1019.3,   1023.0,     13.1,      9.7,       80,      3.3,     90.0,     11.6,    100.0,     -9.8,      0.1,      0.0,     0.28,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020715,   1019.9,   1023.6,     12.6,      8.7,       77,      3.2,    100.0,      9.5,     90.0,      0.0,      0.0,      0.0,     0.20,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020716,   1020.6,   1024.3,     12.6,      7.1,       69,      2.5,    100.0,      8.6,     70.0,      0.0,      0.0,      0.0,     0.11,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020717,   1021.7,   1025.4,     12.9,      6.5,       65,      2.6,     60.0,      8.9,     40.0,      0.0,      0.0,      0.0,     0.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020718,   1022.3,   1026.0,     12.6,      6.9,       68,      2.2,    100.0,      9.9,     50.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020719,   1023.2,   1026.9,     12.3,      7.0,       70,      2.9,    100.0,      8.5,    110.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020720,   1023.9,   1027.6,     12.0,      7.3,       73,      2.3,    110.0,      8.9,    110.0,     -9.8,      0.1,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020721,   1024.1,   1027.8,     12.1,      7.6,       74,      1.5,    120.0,      7.8,     90.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020722,   1024.4,   1028.1,     11.6,      8.6,       82,      2.6,    110.0,      7.2,    100.0,     -9.8,      0.4,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020723,   1024.4,   1028.1,     11.2,      8.4,       83,      3.1,    100.0,      8.6,    100.0,     -9.8,      0.5,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020724,   1024.6,   1028.3,     10.8,      8.7,       87,      3.8,    110.0,      9.6,    110.0,     -9.8,      0.7,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020801,   1024.5,   1028.2,     10.4,      8.3,       87,      3.2,    110.0,      9.1,     70.0,      0.5,      0.5,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020802,   1024.2,   1028.0,     10.2,      7.4,       83,      2.7,    110.0,      9.6,     70.0,     -9.8,      0.7,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020803,   1024.2,   1028.0,     10.1,      6.8,       80,      2.6,     90.0,      8.7,     90.0,     -9.8,      0.6,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020804,   1024.3,   1028.1,     10.1,      6.4,       78,      2.7,    100.0,      8.8,     90.0,     -9.8,      0.7,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020805,   1024.2,   1028.0,     10.2,      6.5,       78,      2.6,    110.0,      7.0,    120.0,      0.5,      0.5,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020806,   1024.6,   1028.3,     10.4,      5.6,       72,      4.1,     90.0,     11.1,     80.0,     -9.8,      0.1,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020807,   1025.1,   1028.9,     10.4,      4.8,       68,      3.4,    100.0,      8.9,     80.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020808,   1026.0,   1029.8,     10.3,      4.0,       65,      3.2,    100.0,      9.2,    130.0,      0.0,      0.0,      0.0,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020809,   1026.6,   1030.4,     10.3,      3.6,       63,      2.6,     70.0,     10.0,     90.0,      0.0,      0.0,      0.0,     0.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020810,   1026.8,   1030.6,     10.3,      3.6,       63,      2.1,     70.0,      9.8,    120.0,      0.0,      0.0,      0.0,     0.09,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020811,   1026.2,   1030.0,     10.1,      2.7,       60,      2.2,     80.0,     11.5,    130.0,      0.0,      0.0,      0.0,     0.13,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020812,   1025.2,   1029.0,      9.9,      1.8,       57,      3.0,    100.0,     10.1,     60.0,      0.0,      0.0,      0.0,     0.18,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020813,   1024.2,   1028.0,     10.1,      2.5,       59,      1.9,     70.0,      9.2,    150.0,      0.0,      0.0,      0.0,     0.18,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020814,   1023.7,   1027.4,     10.3,      2.2,       57,      1.7,     80.0,      9.1,     60.0,      0.0,      0.0,      0.0,     0.30,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020815,   1023.4,   1027.1,     10.2,      2.6,       59,      3.0,    100.0,      8.2,    120.0,      0.0,      0.0,      0.0,     0.22,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020816,   1023.5,   1027.2,     10.3,      2.4,       58,      1.7,     90.0,      9.3,     90.0,      0.0,      0.0,      0.0,     0.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020817,   1024.0,   1027.7,     10.3,      2.9,       60,      2.7,     60.0,     10.0,    100.0,      0.0,      0.0,      0.0,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020818,   1024.6,   1028.4,      9.8,      2.9,       62,      2.3,    100.0,      8.1,    110.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020819,   1024.8,   1028.6,     10.2,      2.8,       60,      2.4,    120.0,      7.5,     60.0,      0.0,      0.0,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020820,   1024.8,   1028.6,      9.9,      3.9,       66,      2.4,    150.0,      5.9,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020821,   1024.8,   1028.6,     10.1,      4.1,       66,      1.8,    160.0,      4.3,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020822,   1024.5,   1028.2,     10.4,      4.6,       67,      2.0,    160.0,      4.0,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020823,   1024.2,   1027.9,     10.3,      4.7,       68,      2.1,    150.0,      5.1,    160.0,     -9.8,      0.1,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020824,   1024.0,   1027.7,     10.3,      5.1,       70,      2.1,    150.0,      5.6,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020901,   1023.9,   1027.6,     10.3,      5.3,       71,      2.1,    140.0,      5.1,    130.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020902,   1023.9,   1027.7,     10.1,      6.1,       76,      2.8,    140.0,      5.5,    170.0,     -9.8,      0.1,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020903,   1024.0,   1027.8,      9.5,      7.1,       85,      2.2,    140.0,      5.2,    150.0,     -9.8,      0.3,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020904,   1023.8,   1027.6,      9.2,      7.6,       90,      2.0,    140.0,      4.7,    120.0,     -9.8,      0.7,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020905,   1023.9,   1027.7,      9.4,      8.2,       92,      0.5,    130.0,      3.8,    140.0,     -9.8,      0.5,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020906,   1024.2,   1028.0,      9.7,      8.8,       94,      0.4,     90.0,      2.8,     70.0,     -9.8,      0.6,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020907,   1024.4,   1028.2,      9.9,      8.8,       93,      0.7,    110.0,      2.0,     50.0,     -9.8,      0.3,      0.0,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020908,   1024.7,   1028.5,     10.0,      8.8,       92,      1.9,    150.0,      3.2,    150.0,     -9.8,      0.5,      0.0,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025020909,   1024.5,   1028.2,     10.5,      8.9,       90,      1.3,    140.0,      5.3,    140.0,      0.5,      0.5,      0.0,     0.18,     None,     None,     None,     None,     None,     None,     None,     None
