﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025080522,   1006.8,   1010.3,     26.8,     25.2,       91,      0.9,    230.0,      2.0,    250.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080523,   1007.0,   1010.5,     26.8,     25.2,       91,      0.9,    160.0,      3.6,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080524,   1006.6,   1010.1,     26.8,     25.0,       90,      1.2,    170.0,      2.9,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080601,   1006.3,   1009.8,     26.3,     25.4,       95,      0.5,    210.0,      3.4,    120.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080602,   1005.5,   1009.0,     26.3,     25.3,       94,      1.2,    240.0,      2.0,    250.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080603,   1005.5,   1009.0,     26.5,     25.1,       92,      0.7,    180.0,      2.4,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080604,   1005.7,   1009.2,     26.3,     24.9,       92,      0.6,    200.0,      2.2,    220.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080605,   1006.2,   1009.7,     26.0,     25.0,       94,      1.0,    140.0,      2.6,    130.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080606,   1006.4,   1009.9,     26.5,     24.7,       90,      1.5,    170.0,      2.9,    170.0,      0.0,      0.0,      0.0,     0.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080607,   1006.6,   1010.1,     27.2,     25.2,       89,      0.4,    200.0,      3.1,    160.0,      0.0,      0.0,      0.3,     0.42,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080608,   1007.0,   1010.5,     28.8,     25.2,       81,      1.2,    160.0,      2.1,    240.0,      0.0,      0.0,      1.0,     1.32,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080609,   1006.7,   1010.1,     30.4,     25.0,       73,      1.5,    140.0,      3.0,    300.0,      0.0,      0.0,      1.0,     2.18,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080610,   1006.8,   1010.2,     31.9,     25.5,       69,      1.4,    120.0,      3.2,     80.0,      0.0,      0.0,      1.0,     3.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080611,   1006.5,   1009.9,     33.1,     25.1,       63,      1.7,    120.0,      4.3,    100.0,      0.0,      0.0,      0.9,     3.43,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080612,   1006.3,   1009.7,     33.5,     25.2,       62,      1.9,    130.0,      4.3,    120.0,      0.0,      0.0,      0.6,     2.16,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080613,   1005.8,   1009.2,     33.1,     25.4,       64,      3.4,     30.0,      7.1,     90.0,      0.0,      0.0,      0.6,     2.61,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080614,   1005.5,   1008.9,     31.6,     26.0,       72,      4.0,     50.0,      7.6,     60.0,     -9.8,      0.1,      0.0,     0.77,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080615,   1005.7,   1009.1,     30.5,     25.6,       75,      3.2,     10.0,      6.7,    340.0,     -9.8,      0.1,      0.0,     0.27,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080616,   1005.5,   1008.9,     29.8,     26.0,       80,      1.3,    350.0,      6.1,    340.0,     -9.8,      0.3,      0.0,     0.29,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080617,   1005.7,   1009.1,     30.5,     25.6,       75,      0.8,    340.0,      4.3,    340.0,      0.0,      0.0,      0.1,     0.63,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080618,   1005.9,   1009.3,     30.0,     25.5,       77,      0.7,     40.0,      3.9,    340.0,     -9.8,      0.1,      0.0,     0.21,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080619,   1006.6,   1010.0,     30.0,     25.5,       77,      1.0,     30.0,      3.7,    360.0,      0.0,      0.0,      0.0,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080620,   1007.2,   1010.6,     30.0,     25.8,       78,      0.3,    220.0,      2.4,    360.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080621,   1007.9,   1011.4,     29.3,     25.9,       82,      1.3,    200.0,      3.7,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080622,   1008.1,   1011.6,     28.9,     25.7,       83,      1.1,    180.0,      3.7,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080623,   1007.7,   1011.2,     28.5,     25.7,       85,      1.0,    190.0,      2.6,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080624,   1007.0,   1010.5,     28.2,     25.4,       85,      1.2,    180.0,      2.7,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080701,   1006.3,   1009.8,     27.8,     25.1,       85,      1.6,    220.0,      3.5,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080702,   1005.5,   1009.0,     27.2,     25.2,       89,      1.0,    220.0,      2.1,    220.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080703,   1005.7,   1009.2,     27.5,     25.0,       86,      1.2,    210.0,      3.0,    220.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080704,   1006.0,   1009.5,     27.6,     24.9,       85,      1.3,    210.0,      2.5,    230.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080705,   1005.8,   1009.3,     27.3,     24.6,       85,      1.2,    220.0,      2.6,    200.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080706,   1006.5,   1010.0,     26.8,     23.5,       82,      1.4,    190.0,      4.5,    160.0,      0.0,      0.0,      0.1,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080707,   1007.2,   1010.7,     27.4,     23.4,       79,      1.2,    170.0,      3.4,    190.0,      0.0,      0.0,      1.0,     0.55,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080708,   1007.6,   1011.1,     29.0,     23.7,       73,      0.9,    200.0,      2.4,    160.0,      0.0,      0.0,      1.0,     1.34,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080709,   1007.6,   1011.0,     30.7,     23.6,       66,      1.5,    240.0,      3.0,    340.0,      0.0,      0.0,      1.0,     2.12,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080710,   1007.2,   1010.6,     32.4,     23.9,       61,      1.1,    270.0,      4.1,    350.0,      0.0,      0.0,      1.0,     2.88,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080711,   1007.1,   1010.5,     33.0,     22.8,       55,      1.1,    180.0,      4.8,    330.0,      0.0,      0.0,      0.7,     2.65,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080712,   1006.6,   1010.0,     33.3,     24.2,       59,      1.0,    320.0,      4.7,    330.0,      0.0,      0.0,      0.5,     2.36,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080713,   1006.0,   1009.4,     34.0,     24.9,       59,      2.9,    360.0,      5.6,    340.0,      0.0,      0.0,      0.4,     2.27,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080714,   1005.5,   1008.9,     34.3,     24.6,       57,      1.8,    340.0,      6.3,    350.0,      0.0,      0.0,      0.8,     2.88,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080715,   1005.4,   1008.8,     34.4,     24.4,       56,      2.8,    360.0,      6.6,    350.0,      0.0,      0.0,      0.7,     2.23,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080716,   1005.0,   1008.4,     32.7,     23.1,       57,      2.5,     20.0,      6.0,     10.0,      0.0,      0.0,      0.1,     0.99,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080717,   1004.7,   1008.1,     32.1,     23.4,       60,      2.2,     10.0,      5.3,    350.0,      0.0,      0.0,      0.1,     0.64,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080718,   1004.8,   1008.2,     31.6,     24.2,       65,      1.8,     10.0,      5.7,    360.0,      0.0,      0.0,      0.0,     0.25,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080719,   1005.2,   1008.6,     30.8,     24.7,       70,      1.8,    100.0,      3.9,     90.0,      0.0,      0.0,      0.0,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080720,   1005.7,   1009.1,     30.6,     24.5,       70,      1.5,     90.0,      4.3,     90.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080721,   1006.4,   1009.8,     30.4,     24.8,       72,      1.2,     60.0,      3.0,     90.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080722,   1006.7,   1010.1,     30.0,     24.9,       74,      1.3,    160.0,      2.6,    130.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080723,   1006.4,   1009.9,     29.5,     25.1,       77,      1.0,    180.0,      3.3,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080724,   1006.2,   1009.7,     29.1,     25.1,       79,      0.9,    180.0,      2.6,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080801,   1005.6,   1009.1,     28.6,     24.8,       80,      1.4,    170.0,      2.9,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080802,   1005.1,   1008.6,     28.1,     24.7,       82,      1.5,    180.0,      3.9,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080803,   1005.1,   1008.6,     27.8,     24.5,       82,      2.1,    180.0,      3.5,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080804,   1005.0,   1008.5,     27.7,     24.4,       82,      1.4,    160.0,      2.6,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080805,   1005.0,   1008.5,     27.4,     23.9,       81,      2.2,    180.0,      3.6,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080806,   1005.3,   1008.8,     27.3,     23.8,       81,      1.6,    160.0,      3.6,    180.0,      0.0,      0.0,      0.0,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080807,   1005.6,   1009.1,     27.9,     24.3,       81,      1.0,    180.0,      3.4,    180.0,      0.0,      0.0,      0.7,     0.55,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080808,   1005.4,   1008.9,     29.2,     25.4,       80,      1.1,    130.0,      2.8,    130.0,      0.0,      0.0,      1.0,     1.10,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080809,   1005.2,   1008.6,     31.0,     25.6,       73,      1.1,    150.0,      2.4,    180.0,      0.0,      0.0,      1.0,     1.76,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080810,   1005.2,   1008.6,     33.1,     25.1,       63,      1.6,    140.0,      3.3,    140.0,      0.0,      0.0,      1.0,     2.34,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080811,   1005.0,   1008.4,     35.2,     23.9,       52,      1.2,    280.0,      4.5,    300.0,      0.0,      0.0,      1.0,     3.26,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080812,   1004.9,   1008.3,     34.8,     24.5,       55,      2.5,    340.0,      6.8,    350.0,      0.0,      0.0,      1.0,     3.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080813,   1004.8,   1008.2,     33.3,     25.1,       62,      2.4,    330.0,      8.7,    330.0,      0.0,      0.0,      0.8,     2.79,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080814,   1004.7,   1008.1,     32.9,     25.2,       64,      3.0,    340.0,      8.1,    340.0,      0.0,      0.0,      1.0,     2.73,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080815,   1004.6,   1008.0,     33.0,     25.6,       65,      2.1,    330.0,      7.2,    360.0,      0.0,      0.0,      0.6,     1.97,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080816,   1004.6,   1008.0,     32.4,     24.7,       64,      1.3,    340.0,      5.8,    350.0,      0.0,      0.0,      0.3,     1.10,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080817,   1004.5,   1007.9,     32.1,     25.0,       66,      1.4,    360.0,      5.3,     10.0,      0.0,      0.0,      0.0,     0.67,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080818,   1004.7,   1008.1,     32.1,     24.2,       63,      2.4,    260.0,      5.4,    190.0,      0.0,      0.0,      0.7,     0.58,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080819,   1005.0,   1008.4,     31.5,     24.6,       67,      0.8,    250.0,      4.5,    230.0,      0.0,      0.0,      0.0,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080820,   1005.4,   1008.8,     31.0,     24.7,       69,      0.7,    230.0,      3.4,    220.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080821,   1005.5,   1008.9,     30.7,     24.9,       71,      1.4,    200.0,      3.0,    240.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080822,   1005.9,   1009.3,     29.8,     25.1,       76,      0.9,    180.0,      3.8,    150.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080823,   1005.7,   1009.1,     29.6,     25.2,       77,      1.5,    220.0,      1.9,    220.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080824,   1005.7,   1009.1,     29.3,     25.1,       78,      1.8,    180.0,      3.5,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080901,   1005.6,   1009.1,     28.9,     25.1,       80,      1.7,    180.0,      4.2,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080902,   1005.4,   1008.9,     28.6,     24.8,       80,      1.4,    180.0,      3.8,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080903,   1005.2,   1008.7,     28.3,     24.7,       81,      1.6,    170.0,      3.4,    200.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080904,   1005.0,   1008.5,     27.9,     25.0,       84,      1.7,    180.0,      3.6,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080905,   1005.2,   1008.7,     27.9,     24.6,       82,      1.0,    210.0,      2.8,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080906,   1006.0,   1009.5,     27.7,     24.2,       81,      1.3,    180.0,      2.7,    230.0,      0.0,      0.0,      0.1,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080907,   1006.3,   1009.8,     28.3,     24.3,       79,      1.3,    230.0,      2.7,    240.0,      0.0,      0.0,      0.9,     0.47,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080908,   1006.5,   1009.9,     29.9,     24.1,       71,      1.4,    190.0,      3.7,    200.0,      0.0,      0.0,      1.0,     1.31,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080909,   1006.3,   1009.7,     31.5,     24.6,       67,      0.6,    270.0,      3.6,     10.0,      0.0,      0.0,      1.0,     2.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080910,   1006.1,   1009.5,     32.5,     24.0,       61,      0.4,    240.0,      3.3,    160.0,      0.0,      0.0,      1.0,     2.82,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080911,   1005.8,   1009.2,     33.7,     24.6,       59,      0.9,    260.0,      3.6,    300.0,      0.0,      0.0,      0.9,     2.85,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080912,   1005.3,   1008.7,     34.8,     25.6,       59,      2.5,    340.0,      5.9,    350.0,      0.0,      0.0,      0.9,     3.24,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080913,   1004.6,   1008.0,     34.5,     26.2,       62,      2.4,    360.0,      6.3,    340.0,      0.0,      0.0,      1.0,     3.44,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080914,   1004.2,   1007.6,     34.6,     26.3,       62,      1.5,    330.0,      6.6,    360.0,      0.0,      0.0,      0.9,     3.21,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080915,   1004.1,   1007.5,     33.4,     26.5,       67,      1.6,     10.0,      7.2,    340.0,      0.0,      0.0,      0.4,     1.87,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080916,   1004.1,   1007.5,     32.0,     26.1,       71,      3.6,     10.0,      6.8,     20.0,      0.0,      0.0,      0.0,     0.49,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080917,   1004.1,   1007.5,     31.7,     26.0,       72,      2.3,     30.0,      6.2,     20.0,      0.0,      0.0,      0.0,     0.32,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080918,   1004.6,   1008.0,     31.3,     25.7,       72,      2.8,     40.0,      5.2,    360.0,      0.0,      0.0,      0.0,     0.10,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080919,   1004.8,   1008.2,     31.1,     25.2,       71,      1.5,    100.0,      4.9,    360.0,      0.0,      0.0,      0.0,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080920,   1005.0,   1008.4,     30.7,     25.3,       73,      1.6,     90.0,      4.7,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080921,   1005.1,   1008.5,     30.5,     25.6,       75,      1.6,    150.0,      3.4,     90.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080922,   1005.3,   1008.7,     30.6,     25.7,       75,      0.7,    200.0,      2.2,    120.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080923,   1005.1,   1008.5,     30.8,     24.9,       71,      1.6,    260.0,      3.6,    280.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025080924,   1005.0,   1008.4,     30.8,     24.9,       71,      1.3,    280.0,      4.1,    280.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081001,   1004.6,   1008.0,     30.8,     24.5,       69,      1.3,    260.0,      4.1,    280.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081002,   1004.3,   1007.7,     30.5,     24.9,       72,      1.3,    250.0,      4.4,    280.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081003,   1004.3,   1007.7,     30.2,     24.8,       73,      1.6,    260.0,      3.5,    270.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081004,   1004.5,   1007.9,     29.6,     25.6,       79,      1.6,    170.0,      3.3,    230.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081005,   1004.5,   1007.9,     29.4,     25.2,       78,      0.9,    220.0,      3.1,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081006,   1004.7,   1008.1,     29.0,     25.6,       82,      0.9,    150.0,      2.9,    180.0,      0.0,      0.0,      0.1,     0.06,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081007,   1005.3,   1008.7,     29.5,     25.7,       80,      0.6,    220.0,      2.7,    170.0,      0.0,      0.0,      1.0,     0.54,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081008,   1005.5,   1008.9,     30.7,     24.9,       71,      1.3,    320.0,      3.3,    360.0,      0.0,      0.0,      0.9,     1.26,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081009,   1005.7,   1009.1,     32.0,     24.9,       66,      0.7,    300.0,      4.5,    310.0,      0.0,      0.0,      0.6,     1.70,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081010,   1005.8,   1009.2,     32.7,     24.2,       61,      1.6,    260.0,      5.6,    320.0,      0.0,      0.0,      0.4,     1.71,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081011,   1005.5,   1008.9,     32.5,     24.6,       63,      1.0,    280.0,      5.1,    270.0,      0.0,      0.0,      0.1,     1.34,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081012,   1004.8,   1008.2,     32.7,     24.5,       62,      1.2,    300.0,      5.2,    320.0,      0.0,      0.0,      0.1,     1.52,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081013,   1004.5,   1007.9,     32.2,     25.6,       68,      3.8,     20.0,      6.2,     20.0,      0.0,      0.0,      0.0,     0.99,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081014,   1004.1,   1007.5,     30.8,     26.3,       77,      3.4,     20.0,      7.3,     40.0,     -9.8,      0.1,      0.0,     0.51,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081015,   1004.0,   1007.4,     30.1,     25.6,       77,      1.9,    100.0,      6.6,     80.0,     -9.8,      0.1,      0.0,     0.34,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081016,   1003.9,   1007.3,     30.4,     25.3,       74,      1.6,     70.0,      4.3,     70.0,     -9.8,      0.1,      0.0,     0.18,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081017,   1004.2,   1007.6,     30.1,     25.4,       76,      1.5,    140.0,      5.1,    100.0,     -9.8,      0.2,      0.0,     0.10,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081018,   1004.3,   1007.7,     29.5,     25.3,       78,      2.2,    140.0,      4.7,    130.0,      0.0,      0.0,      0.0,     0.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081019,   1004.9,   1008.3,     29.2,     25.6,       81,      2.2,    180.0,      4.6,    170.0,     -9.8,      0.1,      0.0,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081020,   1005.5,   1009.0,     28.9,     25.7,       83,      1.2,    180.0,      4.6,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081021,   1005.5,   1009.0,     29.0,     25.8,       83,      1.5,    170.0,      3.7,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081022,   1005.1,   1008.6,     28.6,     25.4,       83,      1.7,    140.0,      3.3,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081023,   1005.1,   1008.6,     28.5,     25.3,       83,      1.5,    170.0,      4.3,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081024,   1004.8,   1008.3,     28.2,     25.4,       85,      1.1,    170.0,      3.6,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081101,   1004.3,   1007.8,     27.9,     25.3,       86,      0.9,    180.0,      3.7,    120.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081102,   1003.8,   1007.3,     27.8,     25.1,       85,      1.5,    180.0,      2.7,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081103,   1004.0,   1007.5,     27.7,     24.6,       83,      0.8,    190.0,      2.9,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081104,   1004.1,   1007.6,     27.8,     24.7,       83,      1.4,    170.0,      2.6,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081105,   1003.9,   1007.4,     27.3,     24.6,       85,      1.6,    180.0,      3.4,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081106,   1004.3,   1007.8,     27.2,     24.3,       84,      1.3,    220.0,      3.3,    160.0,      0.0,      0.0,      0.2,     0.04,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025081107,   1004.6,   1008.1,     27.8,     24.9,       84,      1.8,    180.0,      3.0,    140.0,      0.0,      0.0,      1.0,     0.49,     None,     None,     None,     None,     None,     None,     None,     None
