﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025060522,   1007.1,   1010.6,     24.8,     22.7,       88,      2.8,    100.0,      7.2,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060523,   1006.6,   1010.1,     24.5,     22.8,       90,      0.6,    170.0,      5.7,     80.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060524,   1005.9,   1009.4,     24.3,     22.7,       91,      0.7,    170.0,      3.0,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060601,   1005.5,   1009.0,     24.2,     22.8,       92,      0.2,      0.0,      2.9,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060602,   1005.2,   1008.7,     24.2,     23.0,       93,      1.1,    180.0,      2.4,    200.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060603,   1005.1,   1008.6,     24.3,     23.1,       93,      0.5,    160.0,      2.3,    200.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060604,   1005.1,   1008.6,     24.2,     23.0,       93,      0.2,      0.0,      1.5,    220.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060605,   1005.2,   1008.7,     24.0,     23.2,       95,      0.2,      0.0,      1.6,    360.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060606,   1005.4,   1008.9,     24.6,     23.2,       92,      1.2,    220.0,      2.1,    190.0,      0.0,      0.0,      0.5,     0.17,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060607,   1006.0,   1009.5,     25.6,     23.1,       86,      0.8,    230.0,      2.2,    230.0,      0.0,      0.0,      0.4,     0.58,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060608,   1006.4,   1009.9,     26.7,     23.8,       84,      0.4,    190.0,      2.3,    350.0,      0.0,      0.0,      0.0,     0.86,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060609,   1006.3,   1009.8,     28.5,     24.3,       78,      0.4,    140.0,      2.3,    350.0,      0.0,      0.0,      0.1,     1.42,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060610,   1006.0,   1009.5,     29.3,     24.2,       74,      0.4,    250.0,      2.8,    310.0,      0.0,      0.0,      0.0,     1.80,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060611,   1005.5,   1008.9,     30.8,     23.7,       66,      0.8,    260.0,      2.9,    300.0,      0.0,      0.0,      0.7,     2.96,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060612,   1005.1,   1008.5,     31.4,     24.6,       67,      1.4,    290.0,      3.7,    320.0,      0.0,      0.0,      0.5,     2.52,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060613,   1004.4,   1007.8,     31.9,     25.8,       70,      1.7,    340.0,      5.5,    360.0,      0.0,      0.0,      0.3,     2.55,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060614,   1004.1,   1007.6,     28.8,     26.4,       87,      1.3,    350.0,      5.3,    360.0,      1.0,      0.4,      0.1,     1.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060615,   1003.7,   1007.2,     28.5,     27.6,       95,      1.1,     60.0,      4.7,    340.0,      5.0,      0.5,      0.0,     0.41,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060616,   1003.8,   1007.3,     27.9,     26.8,       94,      2.1,    100.0,      7.0,     80.0,      6.5,      0.3,      0.0,     0.69,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060617,   1003.9,   1007.4,     27.5,     25.7,       90,      3.0,    100.0,      6.8,     90.0,      0.0,      0.0,      0.0,     0.82,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060618,   1004.2,   1007.7,     27.2,     26.0,       93,      1.6,    100.0,      6.1,     90.0,     -9.8,      0.3,      0.0,     0.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060619,   1004.6,   1008.1,     27.3,     26.1,       93,      1.6,    120.0,      4.8,    100.0,     -9.8,      0.1,      0.0,     0.05,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060620,   1004.9,   1008.4,     27.2,     26.0,       93,      1.6,     90.0,      4.0,     90.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060621,   1005.3,   1008.8,     27.0,     25.8,       93,      1.2,    110.0,      2.9,    100.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060622,   1005.5,   1009.0,     26.8,     25.9,       95,      0.6,    160.0,      2.0,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060623,   1005.3,   1008.8,     26.9,     25.7,       93,      0.6,    210.0,      2.5,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060624,   1005.2,   1008.7,     26.5,     25.6,       95,      0.9,    220.0,      1.4,    210.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060701,   1004.3,   1007.8,     26.3,     25.6,       96,      0.9,    220.0,      1.3,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060702,   1004.1,   1007.6,     26.0,     25.1,       95,      1.4,    220.0,      2.3,    250.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060703,   1004.0,   1007.5,     25.9,     25.2,       96,      1.1,    200.0,      1.9,    220.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060704,   1004.4,   1007.9,     25.8,     25.1,       96,      0.7,    150.0,      2.2,    220.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060705,   1004.7,   1008.2,     25.7,     24.7,       94,      0.4,    170.0,      1.8,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060706,   1004.8,   1008.3,     26.3,     24.9,       92,      1.2,    180.0,      2.1,    180.0,      0.0,      0.0,      0.0,     0.10,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060707,   1004.9,   1008.4,     26.8,     24.7,       88,      0.6,    180.0,      2.4,    190.0,      0.0,      0.0,      0.0,     0.29,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060708,   1004.8,   1008.3,     28.7,     25.7,       84,      0.5,    170.0,      1.4,    180.0,      0.0,      0.0,      0.7,     1.27,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060709,   1004.9,   1008.3,     30.2,     25.5,       76,      0.9,    190.0,      2.7,    180.0,      0.5,      0.0,      1.0,     2.32,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060710,   1004.5,   1007.9,     32.0,     25.6,       69,      1.1,    230.0,      3.5,    250.0,      0.0,      0.0,      0.9,     2.77,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060711,   1004.0,   1007.4,     32.5,     25.1,       65,      0.6,    250.0,      3.9,    310.0,      0.0,      0.0,      0.6,     2.71,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060712,   1004.0,   1007.4,     31.9,     26.2,       72,      0.9,    360.0,      5.8,     10.0,      0.0,      0.0,      0.1,     1.42,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060713,   1003.6,   1007.0,     30.5,     26.2,       78,      2.8,     30.0,      6.3,     50.0,      0.0,      0.0,      0.0,     0.62,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060714,   1003.5,   1007.0,     27.6,     26.0,       91,      3.0,    110.0,      6.8,     90.0,      7.0,      0.9,      0.0,     0.12,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060715,   1003.8,   1007.3,     27.2,     26.7,       97,      2.0,    140.0,      5.9,     90.0,     23.0,      1.0,      0.0,     0.14,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060716,   1003.5,   1007.0,     27.6,     26.5,       94,      1.2,    160.0,      4.8,     90.0,      4.5,      0.6,      0.0,     0.52,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060717,   1003.6,   1007.1,     27.5,     26.6,       95,      1.0,    140.0,      2.9,    140.0,     -9.8,      0.3,      0.0,     0.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060718,   1003.4,   1006.9,     27.5,     26.8,       96,      1.2,     90.0,      3.1,    100.0,     -9.8,      0.1,      0.0,     0.13,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060719,   1004.0,   1007.5,     27.4,     26.7,       96,      0.4,    140.0,      2.6,    360.0,      0.0,      0.0,      0.0,     0.03,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060720,   1004.5,   1008.0,     27.4,     26.7,       96,      0.3,    190.0,      3.3,    270.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060721,   1004.3,   1007.8,     26.9,     26.4,       97,      0.5,    190.0,      1.8,    230.0,      0.5,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060722,   1004.6,   1008.1,     27.1,     26.6,       97,      1.2,    150.0,      2.3,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060723,   1004.3,   1007.8,     27.0,     26.3,       96,      1.0,    140.0,      2.6,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060724,   1004.0,   1007.5,     26.7,     26.2,       97,      1.0,    220.0,      2.4,    250.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060801,   1003.8,   1007.3,     26.4,     25.9,       97,      1.7,    140.0,      2.5,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060802,   1003.1,   1006.6,     26.1,     25.6,       97,      1.1,    220.0,      3.1,    270.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060803,   1003.0,   1006.5,     26.3,     25.8,       97,      1.1,    230.0,      2.3,    240.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060804,   1003.1,   1006.6,     26.4,     25.7,       96,      1.0,    140.0,      1.8,    130.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060805,   1002.9,   1006.4,     26.1,     25.4,       96,      0.5,    210.0,      2.2,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060806,   1003.5,   1007.0,     26.2,     25.7,       97,      0.8,    230.0,      1.5,     90.0,      0.0,      0.0,      0.1,     0.11,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060807,   1003.8,   1007.3,     27.0,     25.6,       92,      0.9,    220.0,      1.7,    240.0,      0.0,      0.0,      0.0,     0.36,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060808,   1003.8,   1007.3,     28.0,     25.4,       86,      1.0,    190.0,      2.4,    200.0,      0.0,      0.0,      0.2,     0.90,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060809,   1003.7,   1007.1,     29.1,     25.1,       79,      1.2,    240.0,      2.4,    350.0,      0.0,      0.0,      0.5,     1.64,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060810,   1003.7,   1007.1,     29.5,     26.1,       82,      0.8,    190.0,      2.1,    170.0,      0.0,      0.0,      0.0,     0.97,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060811,   1003.7,   1007.1,     31.0,     26.1,       75,      0.5,    200.0,      2.6,    360.0,      0.0,      0.0,      0.2,     1.53,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060812,   1003.4,   1006.8,     31.5,     25.6,       71,      1.3,    230.0,      3.2,    210.0,      0.0,      0.0,      0.4,     2.49,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060813,   1002.7,   1006.1,     31.7,     26.0,       72,      1.4,     10.0,      3.8,     10.0,      0.0,      0.0,      0.1,     1.50,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060814,   1001.9,   1005.3,     31.1,     26.2,       75,      0.7,    350.0,      5.2,    350.0,      0.0,      0.0,      0.2,     1.59,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060815,   1001.4,   1004.8,     31.0,     26.1,       75,      1.7,    350.0,      5.3,    350.0,      0.0,      0.0,      0.1,     0.98,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060816,   1001.3,   1004.7,     30.7,     26.0,       76,      2.8,    100.0,      6.5,    100.0,      0.0,      0.0,      0.3,     1.29,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060817,   1001.6,   1005.0,     30.4,     25.3,       74,      2.2,    100.0,      6.6,    100.0,      0.0,      0.0,      0.3,     0.63,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060818,   1002.0,   1005.4,     29.9,     25.4,       77,      1.6,    360.0,      5.3,     90.0,      0.0,      0.0,      0.0,     0.11,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060819,   1002.4,   1005.8,     30.2,     24.8,       73,      1.4,    120.0,      3.4,    100.0,      0.0,      0.0,      0.0,     0.02,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060820,   1002.8,   1006.2,     29.7,     25.2,       77,      1.3,    110.0,      3.0,     60.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060821,   1003.4,   1006.8,     29.5,     25.7,       80,      1.3,    150.0,      2.5,    140.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060822,   1003.7,   1007.1,     28.9,     25.9,       84,      1.3,    140.0,      4.4,    150.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060823,   1003.3,   1006.8,     28.5,     26.1,       87,      1.1,    220.0,      2.9,    240.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060824,   1003.6,   1007.1,     28.4,     25.4,       84,      1.6,    180.0,      3.2,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060901,   1002.4,   1005.9,     27.8,     25.4,       87,      0.3,    220.0,      2.3,    210.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060902,   1002.4,   1005.9,     27.9,     25.0,       84,      0.8,    200.0,      2.5,    200.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060903,   1002.7,   1006.2,     27.6,     25.4,       88,      0.9,    220.0,      2.2,    250.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060904,   1002.7,   1006.2,     27.8,     25.6,       88,      0.9,    220.0,      2.7,    250.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060905,   1002.4,   1005.9,     27.5,     25.3,       88,      1.0,    160.0,      2.6,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060906,   1002.3,   1005.8,     27.7,     25.3,       87,      0.9,    190.0,      3.2,    180.0,      0.0,      0.0,      0.1,     0.16,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060907,   1002.6,   1006.1,     28.2,     25.4,       85,      0.5,    130.0,      2.9,    190.0,      0.0,      0.0,      0.3,     0.50,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060908,   1002.2,   1005.6,     29.4,     25.8,       81,      0.9,    210.0,      2.1,     10.0,      0.0,      0.0,      0.4,     0.88,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060909,   1002.4,   1005.8,     30.5,     25.8,       76,      1.5,    240.0,      2.8,    250.0,      0.0,      0.0,      0.9,     1.46,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060910,   1002.2,   1005.6,     32.3,     26.1,       70,      1.1,    180.0,      2.9,    140.0,      0.0,      0.0,      1.0,     2.88,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060911,   1002.5,   1005.9,     31.9,     26.7,       74,      1.3,    330.0,      5.7,    350.0,      0.0,      0.0,      0.2,     1.61,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060912,   1002.4,   1005.8,     33.3,     26.6,       68,      2.4,    330.0,      6.8,    340.0,      0.0,      0.0,      0.8,     3.28,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060913,   1002.2,   1005.6,     32.0,     26.1,       71,      2.9,    330.0,      7.2,    340.0,      0.0,      0.0,      0.5,     2.53,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060914,   1002.0,   1005.4,     31.0,     26.1,       75,      1.1,    330.0,      7.9,    320.0,      0.0,      0.0,      0.3,     1.80,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060915,   1001.5,   1004.9,     30.0,     25.8,       78,      1.6,    340.0,      6.8,     30.0,     -9.8,      0.1,      0.0,     0.43,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060916,   1001.5,   1004.9,     28.1,     26.7,       92,      2.7,    140.0,      5.0,    120.0,      2.5,      0.9,      0.0,     0.22,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060917,   1001.9,   1005.4,     27.7,     26.1,       91,      2.0,    160.0,      5.4,    120.0,      2.0,      0.6,      0.0,     0.28,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060918,   1001.5,   1005.0,     27.0,     25.6,       92,      1.5,    130.0,      5.9,    140.0,      2.5,      0.5,      0.1,     0.39,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060919,   1001.8,   1005.3,     27.6,     26.7,       95,      0.8,    120.0,      3.3,    170.0,      1.0,      0.4,      0.0,     0.14,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060920,   1002.4,   1005.9,     27.4,     26.7,       96,      0.6,    160.0,      1.8,    140.0,     -9.8,      0.1,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060921,   1003.1,   1006.6,     27.4,     26.5,       95,      0.9,    190.0,      2.3,    220.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060922,   1003.6,   1007.1,     27.1,     26.4,       96,      0.9,    210.0,      1.9,    220.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060923,   1003.1,   1006.6,     26.9,     26.0,       95,      0.6,    150.0,      2.2,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025060924,   1002.9,   1006.4,     26.6,     25.6,       94,      1.6,    150.0,      2.9,    130.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061001,   1002.7,   1006.2,     26.4,     25.2,       93,      0.6,    210.0,      2.8,    200.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061002,   1002.4,   1005.9,     26.2,     25.0,       93,      0.6,    190.0,      3.9,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061003,   1002.3,   1005.8,     25.9,     24.9,       94,      1.2,    180.0,      2.6,    190.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061004,   1002.0,   1005.5,     26.2,     24.8,       92,      1.0,    170.0,      4.2,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061005,   1002.0,   1005.5,     25.7,     24.8,       95,      0.7,    140.0,      1.9,    130.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061006,   1002.1,   1005.6,     26.2,     24.8,       92,      0.9,    180.0,      1.9,    140.0,      0.0,      0.0,      0.3,     0.15,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061007,   1002.0,   1005.5,     27.3,     25.5,       90,      0.7,    180.0,      1.8,    160.0,      0.0,      0.0,      0.6,     0.66,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061008,   1001.9,   1005.3,     29.1,     25.3,       80,      0.5,    160.0,      2.4,    170.0,      0.0,      0.0,      0.9,     1.27,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061009,   1001.7,   1005.1,     31.2,     25.1,       70,      1.0,    140.0,      2.6,    360.0,      0.0,      0.0,      1.0,     1.96,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061010,   1001.5,   1004.9,     32.6,     24.4,       62,      0.9,     60.0,      2.9,    140.0,      0.0,      0.0,      1.0,     2.95,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061011,   1001.2,   1004.6,     33.8,     24.7,       59,      1.0,    220.0,      3.7,    180.0,      0.0,      0.0,      1.0,     3.31,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061012,   1000.7,   1004.1,     34.4,     25.3,       59,      1.3,    240.0,      3.8,    230.0,      0.0,      0.0,      0.9,     3.45,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061013,   1000.4,   1003.8,     35.6,     26.9,       61,      2.3,    320.0,      6.3,    320.0,      0.0,      0.0,      1.0,     3.62,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061014,   1000.2,   1003.6,     34.9,     26.8,       63,      1.9,    320.0,      6.7,    350.0,      0.0,      0.0,      1.0,     3.29,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061015,   1000.0,   1003.4,     33.9,     26.7,       66,      3.0,    340.0,      7.2,    330.0,      0.0,      0.0,      1.0,     2.88,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061016,    999.8,   1003.2,     33.4,     26.7,       68,      1.7,    350.0,      6.2,    350.0,      0.0,      0.0,      1.0,     2.20,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061017,    999.9,   1003.3,     32.6,     25.2,       65,      1.8,    360.0,      5.3,    360.0,      0.0,      0.0,      1.0,     1.46,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061018,   1000.8,   1004.2,     32.5,     25.1,       65,      1.4,    140.0,      3.3,    110.0,      0.0,      0.0,      0.4,     0.55,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061019,   1001.1,   1004.5,     31.9,     25.3,       68,      1.0,    170.0,      3.3,    170.0,      0.0,      0.0,      0.1,     0.08,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061020,   1001.9,   1005.3,     31.6,     25.0,       68,      2.3,    140.0,      5.0,    120.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061021,   1002.6,   1006.0,     31.1,     24.8,       69,      2.0,    150.0,      4.6,    120.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061022,   1002.9,   1006.3,     31.0,     24.7,       69,      1.7,    140.0,      4.2,    160.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061023,   1002.9,   1006.3,     30.5,     25.1,       73,      1.3,    160.0,      3.9,    170.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061024,   1002.8,   1006.2,     30.1,     25.9,       78,      1.3,    220.0,      2.3,    240.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061101,   1002.3,   1005.7,     29.7,     25.9,       80,      0.9,    220.0,      3.0,    210.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061102,   1002.2,   1005.6,     29.4,     25.4,       79,      1.3,    180.0,      2.7,    180.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061103,   1002.0,   1005.4,     29.2,     26.0,       83,      1.2,    240.0,      2.7,    230.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061104,   1002.3,   1005.7,     28.7,     25.7,       84,      1.0,    200.0,      2.2,    220.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061105,   1002.7,   1006.1,     28.6,     25.4,       83,      1.1,    220.0,      2.4,    220.0,      0.0,      0.0,     None,     0.00,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061106,   1003.3,   1006.7,     28.8,     25.6,       83,      1.3,    250.0,      2.4,    200.0,      0.0,      0.0,      0.3,     0.16,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025061107,   1004.0,   1007.5,     28.7,     25.5,       83,      1.2,    190.0,      3.4,    170.0,      0.0,      0.0,      0.5,     0.53,     None,     None,     None,     None,     None,     None,     None,     None
