﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列9個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)9個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
* CD01 高雲高度(km)
* CD02 中雲高度(km)
* CD03 低雲高度(km)
* CD04 高雲量(10分量)
* CD05 中雲量(10分量)
* CD06 低雲量(10分量)
* CD07 高雲狀
* CD08 中雲狀
* CD09 低雲狀
* CD10 雲冪高(km)
* CD11 總雲量(10分量)
* EP05 A型蒸發量(mm)
* GR01 全天空日射量(MJ/㎡)
* PP01 降水量(mm)
* PP02 降水時數(hour)
* PS01 測站氣壓(hPa)
* PS02 海平面氣壓(hPa)
* PS11 氣壓趨勢
* RH01 相對溼度(%)
* SS01 日照時數(hour)
* ST01 天空狀況
* ST02 地面狀況
* ST03 雷暴
* ST04 液態降水1
* ST05 液態降水2
* ST06 固態降水1
* ST07 固態降水2
* ST08 固態降水3
* ST09 視障1
* ST10 視障2
* ST11 光象1
* ST12 光象2
* TD01 露點溫度(℃)
* TS01 地表溫度0cm(℃)
* TS02 地中溫度5cm(℃)
* TS03 地中溫度10cm(℃)
* TS04 地中溫度20cm(℃)
* TS05 地中溫度30cm(℃)
* TS06 地中溫度50cm(℃)
* TS07 地中溫度100cm(℃)
* TW01 溼球溫度(℃)
* TX01 氣溫(℃)
* TX02 絕對最高氣溫(℃)
* TX04 絕對最低氣溫(℃)
* VP01 水氣壓(hPa)
* VP06 飽和水氣壓(hPa)
* VS01 能見度(km)
* WD01 平均風風速(m/s)
* WD02 平均風風向(360 degree)
* WD04 最大平均風風速(m/s)
* WD05 最大平均風風向(360 degree)
* WD07 最大瞬間風風速(m/s)
* WD08 最大瞬間風風向(360 degree)
* UV01 紫外線指數
********************************************************************************
* 特殊值:
* -999.1:儀器故障待修
* -9.6/-999.6:資料累計於後
* -9.5/-99.5/-999.5/-999.5/-9999.5/-9995:因故障而無資料
* -9.7/-99.7/-999.7/-999.7/-9999.7/-9997:因不明原因而無資料
* -9.8:雨跡(Trace)
* None:未觀測而無資料
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466920, 2025070206,   1006.7,   1010.2,     29.5,     23.9,       72,      1.8,    100.0,      6.0,    120.0,      0.0,      0.0,      0.5,     0.13,     None,     0.07,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070207,   1006.8,   1010.2,     30.4,     24.1,       69,      2.9,    100.0,      6.8,    110.0,      0.0,      0.0,      1.0,     0.77,     None,     0.62,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070208,   1006.9,   1010.3,     31.7,     24.3,       65,      3.9,    110.0,      8.6,     90.0,      0.0,      0.0,      1.0,     1.55,     None,     2.21,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070209,   1006.7,   1010.1,     33.2,     23.8,       58,      4.1,    130.0,      8.9,    120.0,      0.0,      0.0,      1.0,     2.31,     None,     4.87,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070210,   1006.5,   1009.9,     34.3,     24.0,       55,      4.8,    130.0,      9.9,    120.0,      0.0,      0.0,      1.0,     2.98,     None,     7.96,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070211,   1006.2,   1009.6,     34.7,     23.7,       53,      4.3,    150.0,     10.5,    110.0,      0.0,      0.0,      0.9,     3.33,     None,    10.70,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070212,   1005.7,   1009.1,     35.0,     23.7,       52,      3.6,    130.0,     10.2,    130.0,      0.0,      0.0,      0.9,     3.45,     None,    11.68,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070213,   1005.1,   1008.5,     35.3,     24.0,       52,      4.3,    150.0,     10.8,    140.0,      0.0,      0.0,      0.9,     3.49,     None,    11.40,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070214,   1004.6,   1008.0,     35.8,     23.1,       48,      3.7,    150.0,     10.7,    140.0,      0.0,      0.0,      1.0,     3.50,     None,    10.31,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070215,   1004.3,   1007.7,     34.9,     23.3,       51,      4.0,    140.0,     10.5,    100.0,      0.0,      0.0,      0.9,     2.86,     None,     7.27,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070216,   1004.1,   1007.5,     34.5,     23.9,       54,      3.0,    120.0,      9.9,    100.0,      0.0,      0.0,      0.9,     2.24,     None,     4.25,     None,     None,     None,     None,     None,     None,     None,     None
466920, 2025070217,   1004.3,   1007.7,     33.3,     23.9,       58,      4.5,    110.0,     10.7,    140.0,      0.0,      0.0,      1.0,     1.61,     None,     1.85,     None,     None,     None,     None,     None,     None,     None,     None
